timestamp,open,high,low,close,volume
2026-03-10 09:15:00,100,101,99,100,1200
2026-03-10 09:30:00,100,103,99.5,102,1350
2026-03-10 09:45:00,102,104.2,101.2,103.6,1400
2026-03-10 10:00:00,103.6,103.9,100.8,101.2,1300
2026-03-10 10:15:00,101.2,101.6,98.6,99.1,1450
2026-03-10 10:30:00,99.1,102.4,98.9,101.9,1700
2026-03-10 10:45:00,101.9,104.1,101.5,103.7,1650
2026-03-10 11:00:00,103.7,105.3,103.3,105.0,1800
2026-03-10 11:15:00,105.0,105.1,102.7,103.2,1750
2026-03-10 11:30:00,103.2,103.5,100.7,101.3,1600
2026-03-10 11:45:00,101.3,102.1,99.9,100.5,1500
2026-03-10 12:00:00,100.5,101.8,99.6,101.4,1480
